"","x"
"1","Zero presences for 1 acanthephyra pelagica_Atl in DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, VIMS_NEAMAP"
"2","Zero training presences for 1 acanthephyra pelagica_Atl in DFO_ScotianShelf"
"3","Zero testing presences for 1 acanthephyra pelagica_Atl in SEFSC_GOMex"
"4","Zero presences for 2 acanthostracion quadricornis_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, VIMS_NEAMAP"
"5","Zero presences for 3 achelous spinicarpus_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, VIMS_NEAMAP"
"6","Zero presences for 4 achelous spinimanus_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, VIMS_NEAMAP"
"7","Zero presences for 6 aforia circinata_Pac in AFSC_WCTri, NWFSC_WCAnn"
"8","Zero testing presences for 6 aforia circinata_Pac in AFSC_Aleutians"
"9","Zero presences for 7 albatrossia pectoralis_Pac in AFSC_EBS"
"10","Zero presences for 8 alectis ciliaris_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf"
"11","Zero presences for 9 alepocephalus bairdii_Atl in DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"12","Zero training presences for 9 alepocephalus bairdii_Atl in DFO_ScotianShelf"
"13","Error in training gam fitting for 9 alepocephalus bairdii_Atl : Error in `contrasts<-`(`*tmp*`, value = contr.funs[1 + isOF[nn]]): contrasts can be applied only to factors with 2 or more levels
"
"14","Zero presences for 10 alepocephalus tenebrosus_Pac in AFSC_Aleutians, AFSC_EBS"
"15","Zero testing presences for 10 alepocephalus tenebrosus_Pac in AFSC_WCTri"
"16","Zero presences for 11 allosmerus elongatus_Pac in AFSC_Aleutians, AFSC_EBS, AFSC_GOA"
"17","Zero presences for 12 alosa aestivalis_Atl in DFO_Newfoundland, DFO_SoGulf, SEFSC_GOMex"
"18","Zero presences for 13 alosa pseudoharengus_Atl in DFO_Newfoundland, SCDNR_SEUS"
"19","Zero training presences for 13 alosa pseudoharengus_Atl in SEFSC_GOMex"
"20","Zero presences for 14 alosa sapidissima_Atl in DFO_Newfoundland, DFO_SoGulf, SEFSC_GOMex"
"21","Zero presences for 15 alosa sapidissima_Pac in AFSC_Aleutians, AFSC_EBS, AFSC_GOA"
"22","Zero presences for 16 aluterus schoepfii_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf"
"23","Zero presences for 17 amblyraja radiata_Atl in SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"24","Zero presences for 18 ammodytes dubius_Atl in SCDNR_SEUS, SEFSC_GOMex"
"25","Zero testing presences for 18 ammodytes dubius_Atl in VIMS_NEAMAP"
"26","Zero testing presences for 19 ammodytes hexapterus_Pac in NWFSC_WCAnn"
"27","Zero presences for 20 ampheraster marianus_Pac in AFSC_Aleutians, AFSC_EBS"
"28","Zero training presences for 20 ampheraster marianus_Pac in AFSC_WCTri"
"29","Zero presences for 21 amusium papyraceum_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, VIMS_NEAMAP"
"30","Zero presences for 22 anadara baughmani_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, VIMS_NEAMAP"
"31","Zero presences for 23 anarhichas denticulatus_Atl in DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"32","Zero presences for 24 anarhichas lupus_Atl in SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"33","Zero presences for 25 anarhichas minor_Atl in DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"34","Zero presences for 26 anasimus latus_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, VIMS_NEAMAP"
"35","Zero presences for 27 anchoa hepsetus_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, SCDNR_SEUS"
"36","Zero presences for 28 anchoa lyolepis_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, SCDNR_SEUS, VIMS_NEAMAP"
"37","Zero testing presences for 28 anchoa lyolepis_Atl in NEFSC_NEUS"
