"","x"
"1","Not >=4 presence in all decades for 1 acanthostracion quadricornis_Atl"
"2","Not >=10 presences in 1960s for 2 achelous spinimanus_Atl"
"3","Not >=4 presence in all decades for 2 achelous spinimanus_Atl"
"4","Not >=10 presences in 1960s for 3 alectis ciliaris_Atl"
"5","Not >=4 presence in all decades for 3 alectis ciliaris_Atl"
"6","Not >=4 presence in all decades for 7 aluterus schoepfii_Atl"
"7","Not >=10 presences in 1960s for 12 anchoa lyolepis_Atl"
"8","Not >=4 presence in all decades for 12 anchoa lyolepis_Atl"
"9","Not >=10 presences in 1960s for 14 ancylopsetta dilecta_Atl"
"10","Not >=4 presence in all decades for 14 ancylopsetta dilecta_Atl"
"11","Not >=4 presence in all decades for 15 ancylopsetta ommata_Atl"
"12","Not >=10 presences in 1960s for 16 antimora rostrata_Atl"
"13","Not >=4 presence in all decades for 16 antimora rostrata_Atl"
"14","Not >=10 presences in 1960s for 17 archosargus probatocephalus_Atl"
"15","Not >=4 presence in all decades for 17 archosargus probatocephalus_Atl"
"16","Not >=10 presences in 1960s for 18 arctozenus risso_Atl"
"17","Not >=4 presence in all decades for 18 arctozenus risso_Atl"
"18","Not >=10 presences in 1960s for 19 arenaeus cribrarius_Atl"
"19","Not >=4 presence in all decades for 19 arenaeus cribrarius_Atl"
"20","Not >=10 presences in 1960s for 21 argopecten gibbus_Atl"
"21","Not >=4 presence in all decades for 21 argopecten gibbus_Atl"
"22","Not >=4 presence in all decades for 22 ariopsis felis_Atl"
"23","Not >=10 presences in 1960s for 24 atlantopandalus propinqvus_Atl"
"24","Not >=4 presence in all decades for 24 atlantopandalus propinqvus_Atl"
"25","Not >=10 presences in 1960s for 25 bagre marinus_Atl"
"26","Not >=4 presence in all decades for 25 bagre marinus_Atl"
"27","Not >=10 presences in 1960s for 28 bathypolypus arcticus_Atl"
"28","Not >=4 presence in all decades for 28 bathypolypus arcticus_Atl"
"29","Not >=10 presences in 1960s for 29 bellator militaris_Atl"
"30","Not >=4 presence in all decades for 29 bellator militaris_Atl"
"31","Not >=4 presence in all decades for 32 calamus leucosteus_Atl"
"32","Not >=10 presences in 1960s for 33 calamus proridens_Atl"
"33","Not >=4 presence in all decades for 33 calamus proridens_Atl"
"34","Not >=10 presences in 1960s for 34 calappa flammea_Atl"
"35","Not >=4 presence in all decades for 34 calappa flammea_Atl"
"36","Not >=10 presences in 1960s for 35 calappa sulcata_Atl"
"37","Not >=4 presence in all decades for 35 calappa sulcata_Atl"
"38","Not >=4 presence in all decades for 40 caranx hippos_Atl"
"39","Not >=10 presences in 1960s for 41 carcharhinus acronotus_Atl"
"40","Not >=4 presence in all decades for 41 carcharhinus acronotus_Atl"
"41","Not >=10 presences in 1960s for 43 caretta caretta_Atl"
"42","Not >=4 presence in all decades for 43 caretta caretta_Atl"
"43","Not >=4 presence in all decades for 47 centroscyllium fabricii_Atl"
"44","Not >=4 presence in all decades for 50 chaetodon ocellatus_Atl"
"45","Not >=10 presences in 1960s for 53 chionoecetes opilio_Atl"
"46","Not >=4 presence in all decades for 53 chionoecetes opilio_Atl"
"47","Not >=10 presences in 1960s for 54 chlamys islandica_Atl"
"48","Not >=4 presence in all decades for 54 chlamys islandica_Atl"
"49","Not >=4 presence in all decades for 56 chloroscombrus chrysurus_Atl"
"50","Not >=4 presence in all decades for 58 citharichthys macrops_Atl"
"51","Not >=10 presences in 1960s for 59 citharichthys spilopterus_Atl"
"52","Not >=4 presence in all decades for 59 citharichthys spilopterus_Atl"
"53","Not >=10 presences in 1960s for 62 crangon septemspinosa_Atl"
"54","Not >=4 presence in all decades for 62 crangon septemspinosa_Atl"
"55","Not >=10 presences in 1960s for 64 cyclopsetta fimbriata_Atl"
"56","Not >=4 presence in all decades for 66 cynoscion nothus_Atl"
"57","Not >=4 presence in all decades for 70 dasyatis sabina_Atl"
"58","Not >=4 presence in all decades for 72 decapterus macarellus_Atl"
"59","Not >=10 presences in 1960s for 74 dichelopandalus leptocerus_Atl"
"60","Not >=4 presence in all decades for 74 dichelopandalus leptocerus_Atl"
"61","Not >=10 presences in 1960s for 75 diplectrum bivittatum_Atl"
"62","Not >=4 presence in all decades for 75 diplectrum bivittatum_Atl"
"63","Not >=10 presences in 1960s for 78 echeneis naucrates_Atl"
"64","Not >=4 presence in all decades for 78 echeneis naucrates_Atl"
"65","Not >=10 presences in 1960s for 81 epinephelus morio_Atl"
"66","Not >=4 presence in all decades for 81 epinephelus morio_Atl"
"67","Not >=4 presence in all decades for 82 equetus lanceolatus_Atl"
"68","Not >=10 presences in 1960s for 83 etropus crossotus_Atl"
"69","Not >=4 presence in all decades for 83 etropus crossotus_Atl"
"70","Not >=10 presences in 1960s for 86 eualus fabricii_Atl"
"71","Not >=4 presence in all decades for 86 eualus fabricii_Atl"
"72","Not >=4 presence in all decades for 87 eucinostomus argenteus_Atl"
"73","Not >=4 presence in all decades for 88 eucinostomus gula_Atl"
"74","Not >=4 presence in all decades for 89 eumicrotremus spinosus_Atl"
"75","Not >=10 presences in 1960s for 90 farfantepenaeus aztecus_Atl"
"76","Not >=4 presence in all decades for 90 farfantepenaeus aztecus_Atl"
"77","Not >=10 presences in 1960s for 91 farfantepenaeus duorarum_Atl"
"78","Not >=4 presence in all decades for 91 farfantepenaeus duorarum_Atl"
"79","Not >=10 presences in 1960s for 92 fowlerichthys radiosus_Atl"
"80","Not >=4 presence in all decades for 92 fowlerichthys radiosus_Atl"
"81","Not >=10 presences in 1960s for 95 gymnothorax saxicola_Atl"
"82","Not >=4 presence in all decades for 95 gymnothorax saxicola_Atl"
"83","Not >=4 presence in all decades for 97 gymnura micrura_Atl"
"84","Not >=10 presences in 1960s for 98 gymothorax igromargiatus_Atl"
"85","Not >=4 presence in all decades for 98 gymothorax igromargiatus_Atl"
"86","Not >=4 presence in all decades for 100 haemulon plumierii_Atl"
"87","Not >=10 presences in 1960s for 104 hepatus epheliticus_Atl"
"88","Not >=4 presence in all decades for 104 hepatus epheliticus_Atl"
"89","Not >=4 presence in all decades for 105 hippocampus erectus_Atl"
"90","Not >=10 presences in 1960s for 115 lebbeus groenlandicus_Atl"
"91","Not >=4 presence in all decades for 115 lebbeus groenlandicus_Atl"
"92","Not >=10 presences in 1960s for 116 lebbeus polaris_Atl"
"93","Not >=4 presence in all decades for 116 lebbeus polaris_Atl"
"94","Not >=10 presences in 1960s for 118 lepophidium jeannae_Atl"
"95","Not >=4 presence in all decades for 118 lepophidium jeannae_Atl"
"96","Not >=10 presences in 1960s for 127 lithodes maja_Atl"
"97","Not >=4 presence in all decades for 127 lithodes maja_Atl"
"98","Not >=4 presence in all decades for 129 lolliguncula brevis_Atl"
"99","Not >=4 presence in all decades for 132 lutjanus campechanus_Atl"
"100","Not >=10 presences in 1960s for 133 lutjanus synagris_Atl"
"101","Not >=4 presence in all decades for 133 lutjanus synagris_Atl"
"102","Not >=10 presences in 1960s for 134 lycodes reticulatus_Atl"
"103","Not >=4 presence in all decades for 134 lycodes reticulatus_Atl"
"104","Not >=10 presences in 1960s for 135 macrourus berglax_Atl"
"105","Not >=4 presence in all decades for 135 macrourus berglax_Atl"
"106","Not >=10 presences in 1960s for 137 mallotus villosus_Atl"
"107","Not >=4 presence in all decades for 137 mallotus villosus_Atl"
"108","Not >=10 presences in 1960s for 143 menticirrhus littoralis_Atl"
"109","Not >=4 presence in all decades for 143 menticirrhus littoralis_Atl"
"110","Not >=10 presences in 1960s for 148 monacanthus ciliatus_Atl"
"111","Not >=4 presence in all decades for 148 monacanthus ciliatus_Atl"
"112","Not >=4 presence in all decades for 154 myoxocephalus scorpius_Atl"
"113","Not >=10 presences in 1960s for 157 neomerinthe hemingwayi_Atl"
"114","Not >=4 presence in all decades for 157 neomerinthe hemingwayi_Atl"
"115","Some decades undefined for 159 NO CATCH"
"116","Not enough presences at all for 159 NO CATCH"
"117","Not enough (>=6) unique levels in first decade presence set for 159 NO CATCH . Won't fit models"
"118","Not >=10 presences in 1960s for 160 octopus vulgaris_Atl"
"119","Not >=4 presence in all decades for 160 octopus vulgaris_Atl"
"120","Not >=10 presences in 1960s for 161 ogcocephalus parvus_Atl"
"121","Not >=4 presence in all decades for 161 ogcocephalus parvus_Atl"
"122","Not >=10 presences in 1960s for 165 ophidion welshi_Atl"
"123","Not >=4 presence in all decades for 165 ophidion welshi_Atl"
